id,"iso3","name","continent",centroid_lat,centroid_lon
1,"AFG","Afghanistan","AS",33,65
2,"ALA","Åland Islands","EU",60.25,20
3,"ALB","Albania","EU",41,20
4,"DZA","Algeria","AF",28,3
5,"ASM","American Samoa","OC",-14.3333,-170
6,"AND","Andorra","EU",42.5,1.5
7,"AGO","Angola","AF",-12.5,18.5
8,"AIA","Anguilla","NA",18.25,-63.16667
9,"ATA","Antarctica","AN",-90,0
10,"ATG","Antigua and Barbuda","NA",17.05,-61.8
11,"ARG","Argentina","SA",-34,-64
12,"ARM","Armenia","AS",40,45
13,"ABW","Aruba","NA",12.5,-69.96667
14,"AUS","Australia","OC",-27,133
15,"AUT","Austria","EU",47.3333,13.33333
16,"AZE","Azerbaijan","AS",40.5,47.5
17,"BHS","Bahamas","NA",24.25,-76
18,"BHR","Bahrain","AS",26,50.55
19,"BGD","Bangladesh","AS",24,90
20,"BRB","Barbados","NA",13.1667,-59.53333
21,"BLR","Belarus","EU",53,28
22,"BEL","Belgium","EU",50.8333,4
23,"BLZ","Belize","NA",17.25,-88.75
24,"BEN","Benin","AF",9.5,2.25
25,"BMU","Bermuda","NA",32.3333,-64.75
26,"BTN","Bhutan","AS",27.5,90.5
27,"BOL","Bolivia","SA",-17,-65
28,"BES","Bonaire, Sint Eustatius and Saba","NA",12.1667,-68.25
29,"BIH","Bosnia and Herzegovina","EU",44,18
30,"BWA","Botswana","AF",-22,24
31,"BVT","Bouvet Island","AN",-54.4333,3.4
32,"BRA","Brazil","SA",-10,-55
33,"IOT","British Indian Ocean Territory","AS",-6,71.5
34,"BRN","Brunei Darussalam","AS",4.5,114.66667
35,"BGR","Bulgaria","EU",43,25
36,"BFA","Burkina Faso","AF",13,-2
37,"BDI","Burundi","AF",-3.5,30
38,"KHM","Cambodia","AS",13,105
39,"CMR","Cameroon","AF",5.5,12.5
40,"CAN","Canada","NA",56,-100
41,"CPV","Cape Verde","AF",16,-24
42,"CYM","Cayman Islands","NA",19.5,-80.5
43,"CAF","Central African Republic","AF",7,21
44,"TCD","Chad","AF",15,19
45,"CHL","Chile","SA",-30,-71
46,"CHN","China","AS",35,105
47,"CXR","Christmas Island","AS",-10.5,105.66667
48,"CCK","Cocos (Keeling) Islands","AS",-12.5,96.83333
49,"COL","Colombia","SA",4,-72
50,"COM","Comoros","AF",-12.1667,44.25
51,"COG","Congo (Brazaville)","AF",-1,15
52,"COD","Congo (Democratic Republic)","AF",0.01667,25
53,"COK","Cook Islands","OC",-21.2333,-159.76667
54,"CRI","Costa Rica","NA",10,-84
55,"CIV","Côte d'Ivoire","AF",8,-5
56,"HRV","Croatia","EU",45.1667,15.5
57,"CUB","Cuba","NA",21.5,-80
58,"CUW","Curaçao","NA",12.1667,-69
59,"CYP","Cyprus","AS",35,33
60,"CZE","Czech Republic","EU",49.75,15.5
61,"DNK","Denmark","EU",56,10
62,"DJI","Djibouti","AF",11.5,43
63,"DMA","Dominica","NA",15.4167,-61.33333
64,"DOM","Dominican Republic","NA",19,-70.66667
65,"ECU","Ecuador","SA",-2,-77.5
66,"EGY","Egypt","AF",27,30
67,"SLV","El Salvador","NA",13.8333,-88.91667
68,"GNQ","Equatorial Guinea","AF",2,10
69,"ERI","Eritrea","AF",15,39
70,"EST","Estonia","EU",59,26
71,"ETH","Ethiopia","AF",8,38
72,"FLK","Falkland Islands (Malvinas)","SA",-51.75,-59
73,"FRO","Faroe Islands","EU",62,-7
74,"FJI","Fiji","OC",-18,175
75,"FIN","Finland","EU",63,27
76,"FRA","France","EU",46,2
77,"GUF","French Guiana","SA",4,-53
78,"PYF","French Polynesia","OC",-15,-140
79,"ATF","French Southern and Antarctic Territories","AN",-37.8333,77.53333
80,"GAB","Gabon","AF",-1,11.75
81,"GMB","Gambia","AF",13.4667,-16.56667
82,"GEO","Georgia","AS",42,43.5
83,"DEU","Germany","EU",51,9
84,"GHA","Ghana","AF",8,-2
85,"GIB","Gibraltar","EU",36.1333,-5.35
86,"GRC","Greece","EU",39,22
87,"GRL","Greenland","NA",72,-40
88,"GRD","Grenada","NA",12.1167,-61.66667
89,"GLP","Guadeloupe","NA",16.25,-61.58333
90,"GUM","Guam","OC",13.4667,144.78333
91,"GTM","Guatemala","NA",15.5,-90.25
92,"GGY","Guernsey","EU",49.4667,-2.58333
93,"GIN","Guinea","AF",11,-10
94,"GNB","Guinea-Bissau","AF",12,-15
95,"GUY","Guyana","SA",5,-59
96,"HTI","Haiti","NA",19,-72.41667
97,"HMD","Heard Island and McDonald Islands","OC",-53.1,72.51667
98,"VAT","Holy See","EU",41.9,12.45
99,"HND","Honduras","NA",15,-86.5
100,"HKG","Hong Kong","AS",22.25,114.16667
101,"HUN","Hungary","EU",47,20
102,"ISL","Iceland","EU",65,-18
103,"IND","India","AS",22.8,77.3
104,"IDN","Indonesia","AS",-5,120
105,"IRN","Islamic Republic of Iran","AS",32,53
106,"IRQ","Iraq","AS",33,44
107,"IRL","Ireland","EU",53,-8
108,"IMN","Isle of Man","EU",54.25,-4.5
109,"ISR","Israel","AS",31.5,34.75
110,"ITA","Italy","EU",42.8333,12.83333
111,"JAM","Jamaica","NA",18.25,-77.5
112,"JPN","Japan","AS",36,138
113,"JEY","Jersey","EU",49.25,-2.16667
114,"JOR","Jordan","AS",31,36
115,"KAZ","Kazakhstan","AS",48,68
116,"KEN","Kenya","AF",1,38
117,"KIR","Kiribati","OC",1.41667,173
118,"PRK","Democratic People's Republic of Korea","AS",40,127
119,"KOR","Republic of Korea","AS",37,127.5
120,"KWT","Kuwait","AS",29.3667,47.96667
121,"KGZ","Kyrgyzstan","AS",41,75
122,"LAO","Lao People's Democratic Republic","AS",18,105
123,"LVA","Latvia","EU",57,25
124,"LBN","Lebanon","AS",33.8333,35.83333
125,"LSO","Lesotho","AF",-29.5,28.5
126,"LBR","Liberia","AF",6.5,-9.5
127,"LBY","Libya","AF",27.2,17.9
128,"LIE","Liechtenstein","EU",47.2667,9.53333
129,"LTU","Lithuania","EU",56,24
130,"LUX","Luxembourg","EU",49.75,6.16667
131,"MAC","Macau","AS",22.1667,113.55
132,"MKD","The former Yugoslav Republic of Macedonia","EU",41.8333,22
133,"MDG","Madagascar","AF",-20,47
134,"MWI","Malawi","AF",-13.5,34
135,"MYS","Malaysia","AS",2.5,112.5
136,"MDV","Maldives","AS",3.25,73
137,"MLI","Mali","AF",17,-4
138,"MLT","Malta","EU",35.8333,14.58333
139,"MHL","Marshall Islands","OC",9,168
140,"MTQ","Martinique","NA",14.6,-61.08333
141,"MRT","Mauritania","AF",19.7,-10.4
142,"MUS","Mauritius","AF",-20.2833,57.55
143,"MYT","Mayotte","AF",-12.8333,45.16667
144,"MEX","Mexico","NA",23,-102
145,"FSM","Federated States of Micronesia","OC",6.91667,158.25
146,"MDA","Republic of Moldova","EU",47,29
147,"MCO","Monaco","EU",43.7328,7.41972
148,"MNG","Mongolia","AS",46,105
149,"MNE","Montenegro","EU",42.5,19.3
150,"MSR","Montserrat","NA",16.75,-62.2
151,"MAR","Morocco","AF",32.2,-6
152,"MOZ","Mozambique","AF",-18.25,35
153,"MMR","Myanmar","AS",22,98
154,"NAM","Namibia","AF",-22,17
155,"NRU","Nauru","OC",-0.53333,166.91667
156,"NPL","Nepal","AS",28,84
157,"NLD","Netherlands","EU",52.5,5.75
